cell_volume, cell_density, barrier_density, simulation_nr, number_of_cells, mean_speed, mean_xdir, mean_ydir, avg_group_velocity
200,7,1,0,60,0.2587286017506912,0.0027812019021157936,0.026636618966036325,0.035712419069774605
200,7,2,0,63,0.25711025459295916,-0.008269304652306358,-0.008722370787735814,0.038095775062978544
200,7,3,0,48,0.2596830437457628,0.022091745067859266,0.010016329093902215,0.038671747724235324
200,7,4,0,61,0.24642437420231098,-0.003937920314160241,-0.02456948707930237,0.03451110531553372
200,7,5,0,60,0.2482348762510377,0.00019752437673882858,0.01491187437933106,0.03598484422399362
200,7,6,0,56,0.24342050724427763,-0.02641313056297079,-0.01052584413594904,0.03969668602742414
200,7,8,0,53,0.23137541001442705,-0.014166365651005831,0.01798165504335556,0.03311998687008954
200,7,9,0,54,0.21883685417459428,-0.00675342403971054,0.004266230612467691,0.030545309854081455
200,7,10,0,47,0.1806305382906082,-0.01182593140921158,0.010759917030833495,0.02862926597284706
200,8,0,0,80,0.25388269614034503,-0.014571050258361905,0.000849623949040817,0.030058980729514722
200,8,1,0,80,0.25258639902634195,0.0004896225812251336,-0.00017437773622463272,0.021400688747915536
200,8,2,0,72,0.24940378053541515,-0.01966977399375582,0.025335602205334474,0.03992629494968886
200,8,3,0,78,0.2533936054624074,0.0019193287638484405,0.01633618813780476,0.02880020062221663
200,8,4,0,78,0.24783767916140814,0.008669452132368641,0.0008761103203758694,0.022554559538646195
200,8,5,0,72,0.2507804313064454,0.027016744756620664,-0.0055967118135634205,0.03797305170987966
200,8,6,0,71,0.23943950823288707,0.0021580641029507793,0.0006344838154491016,0.027898873202074712
200,8,7,0,70,0.23081066629359195,0.0037018822319638766,0.007860950982526477,0.025052719819171333
200,8,9,0,71,0.19413055126189577,-0.000022944478836903745,-0.004016553534052057,0.02412609130926143
200,8,10,0,64,0.16982059043558043,0.004668898904400247,-0.004128874562301734,0.02360708134204508
200,9,0,0,99,0.24739120022145156,0.006355308764965318,-0.014994513312834948,0.031385480444085144
200,9,1,0,96,0.24879303454399598,0.009904243850268968,0.01896478950458693,0.03637827217612934
200,9,2,0,99,0.2445788789155562,-0.005532483126373813,0.014362677222106036,0.024537681942903594
200,9,3,0,96,0.23915070527082635,0.008452248441906616,0.026314035239002494,0.0379067731735985
200,9,4,0,75,0.25166879540788695,-0.02028427371533805,-0.012102612094411732,0.036741737258827484
200,9,5,0,96,0.2386165756439622,0.007569538248230385,0.015481387164453827,0.02837646681411939
200,9,6,0,91,0.22327833062951918,-0.016515384362622985,-0.014380926407829977,0.033541046966754265
200,9,7,0,90,0.2201768897373247,-0.00882411635823764,-0.001151056485174696,0.025400947332561038
200,9,8,0,90,0.20275935875011247,0.010634366288749189,-0.00803673979314852,0.024203340922647035
200,9,10,0,74,0.151629882497436,0.00016523480892853415,-0.004457900017514999,0.02033629930807762
200,10,0,0,120,0.2357095200144045,-0.0077747021075469085,0.008358368928729884,0.027121939361103672
200,10,1,0,120,0.23683866253597255,0.01639608960330154,0.004803535990602687,0.02550219855645376
200,10,2,0,120,0.23078118990723787,-0.01400911044957846,-0.0024637593182301,0.027430454688148285
200,10,3,0,116,0.22793404735654238,0.01670467722007003,0.0014441662441141967,0.02918245618785631
200,10,4,0,113,0.23008549927879218,-0.011176620291277533,0.003157792356374753,0.022892230124772917
200,10,5,0,113,0.2253001205189334,0.008388905596046423,-0.0019253975117627577,0.02176362863854584
200,10,6,0,110,0.2211527935270003,-0.014509783954532621,0.00318336834927682,0.02568237938221918
200,10,7,0,104,0.21015204002489146,0.013016587428748377,0.0005186858272306461,0.024722379627112833
200,10,8,0,104,0.19639113542747594,-0.0013804391569861253,-0.0086530218004034,0.02221330659885779
200,10,9,0,95,0.19080710727347622,-0.0009345826417776291,0.00013067049973721566,0.018739734349558192
