field_size_x, field_size_y, cell_volume, cell_density, barrier_density, simulation_nr, number_of_cells, mean_speed, mean_xdir, mean_ydir, avg_group_velocity
300,300,200,1,4,2,3,0.2646179319940531,-0.015250102631242407,0.07147882707424628,0.12679384488902223
300,300,200,1,4,3,3,0.25859110007882896,0.06726158448357161,0.08805967094246359,0.1613097755641017
300,300,200,1,4,4,3,0.2753710130182156,0.0717515648116536,0.026992033686127275,0.16792801032425672
300,300,200,1,4,5,3,0.2529846672526475,0.001124659094690322,0.03355475348636298,0.11268616997576922
300,300,200,1,4,6,3,0.26961939682118263,-0.06033550591240029,0.06695995488996134,0.18460274937647103
300,300,200,1,4,7,3,0.26511480969021417,0.010855302585535038,0.016846672305421417,0.15834969132982799
300,300,200,1,4,8,3,0.256265703949931,-0.13537799310794624,-0.01661046919778698,0.19044417006787018
300,300,200,1,4,9,3,0.24628304009598764,-0.0875366199208918,0.11825241280115067,0.16836689515371478
300,300,200,1,5,0,0,NaN,NaN,NaN,NaN
300,300,200,1,5,1,0,NaN,NaN,NaN,NaN
300,300,200,1,5,2,0,NaN,NaN,NaN,NaN
300,300,200,1,5,3,0,NaN,NaN,NaN,NaN
300,300,200,1,5,4,0,NaN,NaN,NaN,NaN
300,300,200,1,5,5,0,NaN,NaN,NaN,NaN
300,300,200,1,5,6,0,NaN,NaN,NaN,NaN
300,300,200,1,5,7,0,NaN,NaN,NaN,NaN
300,300,200,1,5,8,0,NaN,NaN,NaN,NaN
300,300,200,1,5,9,0,NaN,NaN,NaN,NaN
300,300,200,1,6,0,3,0.2597182693757207,0.08985691056910562,-0.008851626016260059,0.1503994367589021
300,300,200,1,6,1,3,0.23938488609829883,-0.02047360006936658,0.05356377657470182,0.12936209966665657
300,300,200,1,6,2,3,0.27870527728046246,-0.016091890254595294,0.1260941540325537,0.1835514691279334
300,300,200,1,6,3,3,0.27057799485290446,-0.003270189701897064,-0.05338024868483982,0.1403840950267863
300,300,200,1,6,4,3,0.2691993459401586,-0.024989462246717366,-0.0003388783532077753,0.1499784073592898
300,300,200,1,6,5,3,0.25672810635457505,0.06890298850574723,-0.06627083743842367,0.1664375601608046
300,300,200,1,6,6,3,0.2630186410060761,0.03918657120899574,-0.020527994175464158,0.13973688629524125
300,300,200,1,6,7,3,0.281398490297899,-0.08265198525548968,-0.12356133180471383,0.17871351401983315
300,300,200,1,6,8,3,0.2493729131217971,-0.04614525329019921,0.017740185934040746,0.12948792831534697
300,300,200,1,6,9,3,0.27794905568402206,0.051858448844884386,-0.01032167346146394,0.14939464311273803
300,300,200,1,7,0,0,NaN,NaN,NaN,NaN
300,300,200,1,7,1,0,NaN,NaN,NaN,NaN
300,300,200,1,7,2,0,NaN,NaN,NaN,NaN
300,300,200,1,7,3,0,NaN,NaN,NaN,NaN
300,300,200,1,7,4,0,NaN,NaN,NaN,NaN
300,300,200,1,7,5,0,NaN,NaN,NaN,NaN
300,300,200,1,7,6,0,NaN,NaN,NaN,NaN
300,300,200,1,7,7,0,NaN,NaN,NaN,NaN
300,300,200,1,7,8,0,NaN,NaN,NaN,NaN
300,300,200,1,7,9,0,NaN,NaN,NaN,NaN
300,300,200,1,8,0,3,0.2584010785254198,-0.0655821406846567,-0.03192638387368155,0.15187798995258445
300,300,200,1,8,1,3,0.274800899049639,-0.07671230481257071,-0.05527868906293617,0.1517534199759562
300,300,200,1,8,2,3,0.28480297052176246,-0.09807261720951901,-0.10852119533694408,0.17882192416687526
300,300,200,1,8,3,3,0.26218171708346066,-0.008670315991829939,0.04445966838880201,0.14538559504261026
300,300,200,1,8,4,3,0.2626139857211202,0.037071179406743066,-0.044133356207468284,0.1279318840964844
300,300,200,1,8,5,3,0.2641185904554566,-0.03508278993382615,-0.00878899998389928,0.14032223407080718
300,300,200,1,8,6,3,0.26929382771883886,0.10099121340492266,-0.021492272466052596,0.1799820117481302
300,300,200,1,8,7,3,0.2766519270143011,-0.07834030740605936,-0.04051699429680871,0.1688209012308041
300,300,200,1,8,8,3,0.25397840785682335,0.027747216687306078,-0.038129503951236245,0.14351012376303518
300,300,200,1,8,9,3,0.25748956466666,-0.0006837754178665951,-0.028559487173139945,0.13611906791864414
300,300,200,1,9,0,0,NaN,NaN,NaN,NaN
300,300,200,1,9,1,0,NaN,NaN,NaN,NaN
300,300,200,1,9,2,0,NaN,NaN,NaN,NaN
300,300,200,1,9,3,0,NaN,NaN,NaN,NaN
300,300,200,1,9,4,0,NaN,NaN,NaN,NaN
300,300,200,1,9,5,0,NaN,NaN,NaN,NaN
300,300,200,1,9,6,0,NaN,NaN,NaN,NaN
300,300,200,1,9,7,0,NaN,NaN,NaN,NaN
300,300,200,1,9,8,0,NaN,NaN,NaN,NaN
300,300,200,1,9,9,0,NaN,NaN,NaN,NaN
300,300,200,1,10,0,3,0.2584690056543168,0.1334976340166757,-0.05344137701046323,0.1792831692895295
300,300,200,1,10,1,3,0.27557924153357194,0.10513352007469655,-0.0016328922373546318,0.1683371572742112
300,300,200,1,10,2,3,0.2616564782449803,-0.012724812123155908,-0.05001100672727132,0.13700787814738552
